evaluation_model,evaluation_layer,scenario,classifier,uar_original,uar_converted,uar_delta,accuracy_original,accuracy_converted,accuracy_delta,sensitivity_original,sensitivity_converted,specificity_original,specificity_converted,auc_original,auc_converted
wavlm,0,Spanish->Spanish,logistic_regression,0.7749999999999999,0.875,0.10000000000000009,0.775,0.875,0.09999999999999998,0.6,0.875,0.95,0.875,0.925,0.9512499999999999
wavlm,0,German->German,linear_svm,0.675,0.8125,0.13749999999999996,0.675,0.8125,0.13749999999999996,0.65,0.8,0.7,0.825,0.5175,0.88375
wavlm,0,German->German,logistic_regression,0.65,0.825,0.17499999999999993,0.65,0.825,0.17499999999999993,0.55,0.775,0.75,0.875,0.6825,0.888125
wavlm,0,Combined->Combined,linear_svm,0.65,0.76875,0.11875000000000002,0.65,0.76875,0.11875000000000002,0.65,0.75,0.65,0.7875,0.675,0.84390625
wavlm,0,Combined->Combined,logistic_regression,0.65,0.76875,0.11875000000000002,0.65,0.76875,0.11875000000000002,0.65,0.7125,0.65,0.825,0.71375,0.844375
wavlm,4,German->Spanish,linear_svm,0.45,0.5,0.04999999999999999,0.45,0.5,0.04999999999999999,0.75,0.7,0.15,0.3,0.47250000000000003,0.45
wavlm,4,German->Spanish,logistic_regression,0.4,0.5,0.09999999999999998,0.4,0.5,0.09999999999999998,0.8,0.85,0.0,0.15,0.5449999999999999,0.605
wavlm,4,Spanish->German,linear_svm,0.5,0.475,-0.025000000000000022,0.5,0.475,-0.025000000000000022,0.85,0.95,0.15,0.0,0.4525,0.4675
wavlm,4,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,0.85,1.0,0.15,0.0,0.45749999999999996,0.47000000000000003
wavlm,4,Spanish->Spanish,linear_svm,0.825,0.9875,0.1625000000000001,0.825,0.9875,0.1625000000000001,0.85,0.975,0.8,1.0,0.8925,0.99875
wavlm,4,Spanish->Spanish,logistic_regression,0.875,0.975,0.09999999999999998,0.875,0.975,0.09999999999999998,0.85,0.95,0.9,1.0,0.9249999999999999,0.9987499999999999
wavlm,4,German->German,linear_svm,0.55,0.9125,0.36249999999999993,0.55,0.9125,0.36249999999999993,0.5,0.95,0.6,0.875,0.5462499999999999,0.9574999999999999
wavlm,4,German->German,logistic_regression,0.575,0.9,0.32500000000000007,0.575,0.9,0.32500000000000007,0.5,0.925,0.65,0.875,0.5625,0.950625
wavlm,4,Combined->Combined,linear_svm,0.7375,0.875,0.13749999999999996,0.7375,0.875,0.13749999999999996,0.7,0.85,0.775,0.9,0.7618750000000001,0.935
wavlm,4,Combined->Combined,logistic_regression,0.7749999999999999,0.90625,0.1312500000000001,0.775,0.90625,0.13124999999999998,0.725,0.875,0.825,0.9375,0.7818750000000001,0.9429687499999999
wavlm,8,German->Spanish,linear_svm,0.7250000000000001,0.7749999999999999,0.04999999999999982,0.725,0.775,0.050000000000000044,0.65,0.85,0.8,0.7,0.78625,0.84
wavlm,8,German->Spanish,logistic_regression,0.7250000000000001,0.75,0.02499999999999991,0.725,0.75,0.025000000000000022,0.65,0.65,0.8,0.85,0.77,0.8375
wavlm,8,Spanish->German,linear_svm,0.55,0.55,0.0,0.55,0.55,0.0,0.7,0.9,0.4,0.2,0.5449999999999999,0.5275
wavlm,8,Spanish->German,logistic_regression,0.5249999999999999,0.5,-0.02499999999999991,0.525,0.5,-0.025000000000000022,0.7,0.9,0.35,0.1,0.5225,0.525
wavlm,8,Spanish->Spanish,linear_svm,0.8500000000000001,0.925,0.07499999999999996,0.85,0.925,0.07500000000000007,0.9,0.95,0.8,0.9,0.8875,0.968125
