source_file,source_language,target_domain,condition_model,condition_layer,alpha,output_file,generation_status,method_used,notes
DE_PD_020.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_020_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.8710).
SP_HC_001.wav,Spanish,German-domain,xlsr,11,1.0,converted_audio_stage5b\spanish_to_german\SP_HC_001_to_Ge_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9973).
SP_HC_002.wav,Spanish,German-domain,xlsr,11,1.0,converted_audio_stage5b\spanish_to_german\SP_HC_002_to_Ge_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9984).
SP_HC_003.wav,Spanish,German-domain,xlsr,11,1.0,converted_audio_stage5b\spanish_to_german\SP_HC_003_to_Ge_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9945).
SP_HC_004.wav,Spanish,German-domain,xlsr,11,1.0,converted_audio_stage5b\spanish_to_german\SP_HC_004_to_Ge_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9948).
SP_HC_005.wav,Spanish,German-domain,xlsr,11,1.0,converted_audio_stage5b\spanish_to_german\SP_HC_005_to_Ge_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9992).
SP_HC_006.wav,Spanish,German-domain,xlsr,11,1.0,converted_audio_stage5b\spanish_to_german\SP_HC_006_to_Ge_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9998).
SP_HC_007.wav,Spanish,German-domain,xlsr,11,1.0,converted_audio_stage5b\spanish_to_german\SP_HC_007_to_Ge_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9985).
SP_HC_008.wav,Spanish,German-domain,xlsr,11,1.0,converted_audio_stage5b\spanish_to_german\SP_HC_008_to_Ge_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9983).
SP_HC_009.wav,Spanish,German-domain,xlsr,11,1.0,converted_audio_stage5b\spanish_to_german\SP_HC_009_to_Ge_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9816).
SP_HC_010.wav,Spanish,German-domain,xlsr,11,1.0,converted_audio_stage5b\spanish_to_german\SP_HC_010_to_Ge_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9863).
