model,layer,train_language,test_language,classifier,official_baseline_uar,stage4_preprocessed_original_uar,difference,absolute_difference,exact_match
xlsr,0,Spanish+German,Spanish+German,linear_svm,0.75,0.7681159420289855,0.018115942028985477,0.018115942028985477,False
xlsr,0,Spanish+German,Spanish+German,logistic_regression,0.7572463768115942,0.7644927536231884,0.007246376811594124,0.007246376811594124,False
xlsr,11,Spanish,Spanish,linear_svm,0.78,0.8,0.020000000000000018,0.020000000000000018,False
xlsr,11,Spanish,Spanish,logistic_regression,0.81,0.8,-0.010000000000000009,0.010000000000000009,False
xlsr,11,Spanish,German,linear_svm,0.5909090909090909,0.5909090909090909,0.0,0.0,True
xlsr,11,Spanish,German,logistic_regression,0.5738636363636364,0.6420454545454546,0.06818181818181823,0.06818181818181823,False
xlsr,11,German,German,linear_svm,0.75,0.7045454545454546,-0.045454545454545414,0.045454545454545414,False
xlsr,11,German,German,logistic_regression,0.7670454545454546,0.7556818181818181,-0.011363636363636465,0.011363636363636465,False
xlsr,11,German,Spanish,linear_svm,0.6000000000000001,0.6100000000000001,0.010000000000000009,0.010000000000000009,False
xlsr,11,German,Spanish,logistic_regression,0.66,0.66,0.0,0.0,True
xlsr,11,Spanish+German,Spanish+German,linear_svm,0.7536231884057971,0.8007246376811594,0.047101449275362306,0.047101449275362306,False
xlsr,11,Spanish+German,Spanish+German,logistic_regression,0.7789855072463768,0.7826086956521738,0.0036231884057970065,0.0036231884057970065,False
xlsr,4,Spanish,Spanish,linear_svm,0.84,0.84,0.0,0.0,True
xlsr,4,Spanish,Spanish,logistic_regression,0.8200000000000001,0.8200000000000001,0.0,0.0,True
xlsr,4,Spanish,German,linear_svm,0.5511363636363636,0.5284090909090909,-0.022727272727272707,0.022727272727272707,False
xlsr,4,Spanish,German,logistic_regression,0.5340909090909091,0.5454545454545454,0.011363636363636354,0.011363636363636354,False
xlsr,4,German,German,linear_svm,0.7159090909090909,0.7670454545454546,0.051136363636363646,0.051136363636363646,False
xlsr,4,German,German,logistic_regression,0.7613636363636364,0.7727272727272727,0.011363636363636354,0.011363636363636354,False
xlsr,4,German,Spanish,linear_svm,0.62,0.62,0.0,0.0,True
xlsr,4,German,Spanish,logistic_regression,0.61,0.62,0.010000000000000009,0.010000000000000009,False
xlsr,4,Spanish+German,Spanish+German,linear_svm,0.7608695652173914,0.7753623188405797,0.01449275362318836,0.01449275362318836,False
xlsr,4,Spanish+German,Spanish+German,logistic_regression,0.7789855072463768,0.786231884057971,0.007246376811594124,0.007246376811594124,False
xlsr,8,Spanish,Spanish,linear_svm,0.79,0.79,0.0,0.0,True
xlsr,8,Spanish,Spanish,logistic_regression,0.8300000000000001,0.8400000000000001,0.010000000000000009,0.010000000000000009,False
xlsr,8,Spanish,German,linear_svm,0.5965909090909091,0.5965909090909091,0.0,0.0,True
xlsr,8,Spanish,German,logistic_regression,0.6477272727272727,0.6477272727272727,0.0,0.0,True
xlsr,8,German,German,linear_svm,0.7272727272727273,0.7102272727272727,-0.017045454545454586,0.017045454545454586,False
xlsr,8,German,German,logistic_regression,0.7386363636363636,0.75,0.011363636363636354,0.011363636363636354,False
xlsr,8,German,Spanish,linear_svm,0.56,0.55,-0.010000000000000009,0.010000000000000009,False
xlsr,8,German,Spanish,logistic_regression,0.6699999999999999,0.6599999999999999,-0.010000000000000009,0.010000000000000009,False
xlsr,8,Spanish+German,Spanish+German,linear_svm,0.7681159420289855,0.7536231884057971,-0.01449275362318836,0.01449275362318836,False
xlsr,8,Spanish+German,Spanish+German,logistic_regression,0.7826086956521738,0.7934782608695652,0.010869565217391353,0.010869565217391353,False
