evaluation_model,evaluation_layer,scenario,classifier,uar_original,uar_converted,uar_delta,accuracy_original,accuracy_converted,accuracy_delta,sensitivity_original,sensitivity_converted,specificity_original,specificity_converted,auc_original,auc_converted
xlsr,11,German->German,linear_svm,0.7670454545454546,0.8948863636363636,0.12784090909090906,0.7670454545454546,0.8948863636363636,0.12784090909090906,0.7613636363636364,0.9034090909090909,0.7727272727272727,0.8863636363636364,0.8053977272727273,0.9269595816115702
xlsr,11,German->German,logistic_regression,0.7784090909090908,0.8778409090909091,0.09943181818181823,0.7784090909090909,0.8778409090909091,0.09943181818181812,0.7840909090909091,0.8693181818181818,0.7727272727272727,0.8863636363636364,0.8517561983471075,0.9299457644628099
xlsr,11,Combined->Combined,linear_svm,0.75,0.8405797101449275,0.0905797101449275,0.75,0.8405797101449275,0.0905797101449275,0.7681159420289855,0.8442028985507246,0.7318840579710145,0.8369565217391305,0.81196177273682,0.9032897500525099
xlsr,11,Combined->Combined,logistic_regression,0.7644927536231885,0.8478260869565217,0.08333333333333326,0.7644927536231884,0.8478260869565217,0.08333333333333337,0.7681159420289855,0.8478260869565217,0.7608695652173914,0.8478260869565217,0.8132745221592103,0.9072673808023524
wav2vec2,0,German->Spanish,linear_svm,0.56,0.47,-0.09000000000000008,0.56,0.47,-0.09000000000000008,0.68,0.6,0.44,0.34,0.616,0.4895999999999999
wav2vec2,0,German->Spanish,logistic_regression,0.59,0.56,-0.029999999999999916,0.59,0.56,-0.029999999999999916,0.6,0.62,0.58,0.5,0.6783999999999999,0.5811999999999999
wav2vec2,0,Spanish->German,linear_svm,0.6477272727272727,0.5795454545454546,-0.06818181818181812,0.6477272727272727,0.5795454545454546,-0.06818181818181812,0.5340909090909091,0.7045454545454546,0.7613636363636364,0.45454545454545453,0.7072572314049587,0.5916838842975207
wav2vec2,0,Spanish->German,logistic_regression,0.6193181818181819,0.5568181818181818,-0.06250000000000011,0.6193181818181818,0.5568181818181818,-0.0625,0.48863636363636365,0.6477272727272727,0.75,0.4659090909090909,0.6944731404958677,0.5639204545454546
wav2vec2,0,Spanish->Spanish,linear_svm,0.76,0.76,0.0,0.76,0.76,0.0,0.74,0.76,0.78,0.76,0.7996,0.8172
wav2vec2,0,Spanish->Spanish,logistic_regression,0.73,0.7250000000000001,-0.004999999999999893,0.73,0.725,-0.0050000000000000044,0.72,0.68,0.74,0.77,0.7899999999999999,0.7937
wav2vec2,0,German->German,linear_svm,0.6818181818181819,0.7784090909090909,0.09659090909090906,0.6818181818181818,0.7784090909090909,0.09659090909090917,0.7045454545454546,0.8011363636363636,0.6590909090909091,0.7556818181818182,0.7454803719008264,0.8276084710743802
wav2vec2,0,German->German,logistic_regression,0.7102272727272727,0.7556818181818182,0.045454545454545525,0.7102272727272727,0.7556818181818182,0.045454545454545525,0.7159090909090909,0.7556818181818182,0.7045454545454546,0.7556818181818182,0.7428977272727273,0.8267368285123966
wav2vec2,0,Combined->Combined,linear_svm,0.7101449275362319,0.7481884057971014,0.03804347826086951,0.7101449275362319,0.7481884057971014,0.03804347826086951,0.7318840579710145,0.7318840579710145,0.6884057971014492,0.7644927536231884,0.7790380172232725,0.7948041377861794
wav2vec2,0,Combined->Combined,logistic_regression,0.7028985507246377,0.7481884057971014,0.04528985507246375,0.7028985507246377,0.7481884057971014,0.04528985507246375,0.7246376811594203,0.7246376811594203,0.6811594202898551,0.7717391304347826,0.7594517958412098,0.8085486242386054
wav2vec2,4,German->Spanish,linear_svm,0.52,0.51,-0.010000000000000009,0.52,0.51,-0.010000000000000009,0.08,0.2,0.96,0.82,0.6524,0.4872
wav2vec2,4,German->Spanish,logistic_regression,0.54,0.54,0.0,0.54,0.54,0.0,0.12,0.3,0.96,0.78,0.7016,0.5492
wav2vec2,4,Spanish->German,linear_svm,0.5909090909090909,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.75,0.875,0.4318181818181818,0.3068181818181818,0.6171229338842976,0.6048553719008264
wav2vec2,4,Spanish->German,logistic_regression,0.6022727272727273,0.6022727272727273,0.0,0.6022727272727273,0.6022727272727273,0.0,0.7386363636363636,0.875,0.4659090909090909,0.32954545454545453,0.6269369834710743,0.6098915289256199
wav2vec2,4,Spanish->Spanish,linear_svm,0.8200000000000001,0.9,0.07999999999999996,0.82,0.9,0.08000000000000007,0.8,0.89,0.84,0.91,0.8858,0.9519
wav2vec2,4,Spanish->Spanish,logistic_regression,0.79,0.9099999999999999,0.11999999999999988,0.79,0.91,0.12,0.74,0.88,0.84,0.94,0.8727999999999999,0.9474
wav2vec2,4,German->German,linear_svm,0.7784090909090908,0.9034090909090908,0.125,0.7784090909090909,0.9034090909090909,0.125,0.75,0.9090909090909091,0.8068181818181818,0.8977272727272727,0.823411673553719,0.9401794938016529
wav2vec2,4,German->German,logistic_regression,0.8011363636363636,0.875,0.07386363636363635,0.8011363636363636,0.875,0.07386363636363635,0.7840909090909091,0.8693181818181818,0.8181818181818182,0.8806818181818182,0.8545971074380165,0.9357244318181818
wav2vec2,4,Combined->Combined,linear_svm,0.7681159420289856,0.8423913043478262,0.07427536231884058,0.7681159420289855,0.842391304347826,0.07427536231884058,0.782608695652174,0.8297101449275363,0.7536231884057971,0.855072463768116,0.8103339634530561,0.8914487502625499
wav2vec2,4,Combined->Combined,logistic_regression,0.7789855072463768,0.8297101449275363,0.050724637681159424,0.7789855072463768,0.8297101449275363,0.050724637681159424,0.782608695652174,0.8079710144927537,0.7753623188405797,0.8514492753623188,0.8283973955051459,0.8951375761394665
wav2vec2,8,German->Spanish,linear_svm,0.54,0.51,-0.030000000000000027,0.54,0.51,-0.030000000000000027,0.1,0.06,0.98,0.96,0.7316,0.6536
wav2vec2,8,German->Spanish,logistic_regression,0.63,0.63,0.0,0.63,0.63,0.0,0.42,0.42,0.84,0.84,0.7807999999999999,0.7432
wav2vec2,8,Spanish->German,linear_svm,0.5795454545454546,0.5170454545454546,-0.0625,0.5795454545454546,0.5170454545454546,-0.0625,0.8977272727272727,0.9431818181818182,0.26136363636363635,0.09090909090909091,0.637396694214876,0.6657412190082644
wav2vec2,8,Spanish->German,logistic_regression,0.5795454545454546,0.5227272727272727,-0.05681818181818188,0.5795454545454546,0.5227272727272727,-0.05681818181818188,0.8522727272727273,0.9318181818181818,0.3068181818181818,0.11363636363636363,0.6366219008264463,0.6814307851239669
wav2vec2,8,Spanish->Spanish,linear_svm,0.83,0.895,0.06500000000000006,0.83,0.895,0.06500000000000006,0.84,0.86,0.82,0.93,0.8383999999999999,0.94095
wav2vec2,8,Spanish->Spanish,logistic_regression,0.84,0.895,0.05500000000000005,0.84,0.895,0.05500000000000005,0.82,0.86,0.86,0.93,0.872,0.9375
wav2vec2,8,German->German,linear_svm,0.6988636363636364,0.8664772727272727,0.16761363636363635,0.6988636363636364,0.8664772727272727,0.16761363636363635,0.7272727272727273,0.8693181818181818,0.6704545454545454,0.8636363636363636,0.746900826446281,0.918775826446281
